cnbc -> doc1:15 doc2:16 doc3:15 doc4:16 doc5:15 doc6:16 doc7:18 doc8:16 doc9:15 doc10:18 doc11:16 doc12:18 doc13:16 doc14:20
video -> doc1:12 doc2:12 doc3:12 doc4:12 doc5:12 doc6:12 doc7:12 doc8:12 doc9:12 doc10:12 doc11:12 doc12:12 doc13:12 doc14:12
europ -> doc1:8 doc2:8 doc3:8 doc4:18 doc5:9 doc6:8 doc7:9 doc8:8 doc9:8 doc10:8 doc11:8 doc12:8 doc13:8 doc14:8
hous -> doc1:7 doc2:0 doc3:0 doc4:0 doc5:0 doc6:0 doc7:0 doc8:2 doc9:0 doc10:0 doc11:0 doc12:0 doc13:0 doc14:0
news -> doc1:7 doc2:8 doc3:9 doc4:7 doc5:7 doc6:7 doc7:9 doc8:7 doc9:7 doc10:8 doc11:7 doc12:7 doc13:7 doc14:8
start -> doc1:7 doc2:2 doc3:0 doc4:6 doc5:0 doc6:0 doc7:0 doc8:3 doc9:0 doc10:1 doc11:0 doc12:0 doc13:1 doc14:0
asia -> doc1:6 doc2:6 doc3:6 doc4:6 doc5:6 doc6:6 doc7:6 doc8:6 doc9:6 doc10:6 doc11:6 doc12:6 doc13:6 doc14:6
financ -> doc1:6 doc2:6 doc3:6 doc4:6 doc5:6 doc6:7 doc7:6 doc8:10 doc9:6 doc10:6 doc11:6 doc12:6 doc13:6 doc14:6
portfolio -> doc1:6 doc2:6 doc3:6 doc4:6 doc5:6 doc6:6 doc7:6 doc8:6 doc9:6 doc10:6 doc11:6 doc12:6 doc13:6 doc14:6
pro -> doc1:6 doc2:6 doc3:6 doc4:6 doc5:6 doc6:6 doc7:6 doc8:6 doc9:6 doc10:6 doc11:6 doc12:6 doc13:6 doc14:6
data -> doc1:5 doc2:4 doc3:4 doc4:4 doc5:4 doc6:4 doc7:4 doc8:4 doc9:4 doc10:4 doc11:6 doc12:4 doc13:4 doc14:4
decemb -> doc1:5 doc2:1 doc3:0 doc4:0 doc5:0 doc6:0 doc7:0 doc8:0 doc9:0 doc10:0 doc11:3 doc12:0 doc13:0 doc14:0
estat -> doc1:5 doc2:2 doc3:2 doc4:2 doc5:2 doc6:2 doc7:2 doc8:5 doc9:2 doc10:2 doc11:2 doc12:2 doc13:2 doc14:2
month -> doc1:5 doc2:1 doc3:0 doc4:1 doc5:2 doc6:0 doc7:0 doc8:0 doc9:0 doc10:3 doc11:2 doc12:0 doc13:0 doc14:0
real -> doc1:5 doc2:2 doc3:2 doc4:2 doc5:2 doc6:2 doc7:2 doc8:5 doc9:2 doc10:3 doc11:2 doc12:2 doc13:2 doc14:2
stock -> doc1:5 doc2:5 doc3:5 doc4:5 doc5:5 doc6:6 doc7:5 doc8:6 doc9:5 doc10:5 doc11:5 doc12:5 doc13:5 doc14:5
the -> doc1:5 doc2:8 doc3:7 doc4:6 doc5:8 doc6:5 doc7:7 doc8:15 doc9:4 doc10:13 doc11:6 doc12:7 doc13:6 doc14:10
fund -> doc1:4 doc2:4 doc3:4 doc4:4 doc5:4 doc6:5 doc7:10 doc8:6 doc9:6 doc10:4 doc11:4 doc12:4 doc13:4 doc14:4
interview -> doc1:4 doc2:4 doc3:4 doc4:4 doc5:4 doc6:4 doc7:4 doc8:4 doc9:4 doc10:4 doc11:4 doc12:4 doc13:4 doc14:4
live -> doc1:4 doc2:4 doc3:5 doc4:4 doc5:4 doc6:4 doc7:4 doc8:4 doc9:4 doc10:6 doc11:4 doc12:4 doc13:4 doc14:4
market -> doc1:4 doc2:4 doc3:4 doc4:7 doc5:9 doc6:5 doc7:20 doc8:19 doc9:5 doc10:5 doc11:5 doc12:4 doc13:5 doc14:10
media -> doc1:4 doc2:6 doc3:4 doc4:4 doc5:4 doc6:4 doc7:4 doc8:4 doc9:4 doc10:4 doc11:4 doc12:4 doc13:5 doc14:5
million -> doc1:4 doc2:0 doc3:0 doc4:0 doc5:1 doc6:3 doc7:4 doc8:0 doc9:5 doc10:4 doc11:0 doc12:0 doc13:1 doc14:0
nation -> doc1:4 doc2:4 doc3:4 doc4:4 doc5:4 doc6:4 doc7:4 doc8:4 doc9:4 doc10:4 doc11:4 doc12:5 doc13:4 doc14:4
percent -> doc1:4 doc2:2 doc3:0 doc4:0 doc5:5 doc6:10 doc7:0 doc8:0 doc9:3 doc10:1 doc11:13 doc12:0 doc13:1 doc14:1
permit -> doc1:4 doc2:0 doc3:0 doc4:0 doc5:0 doc6:0 doc7:0 doc8:0 doc9:0 doc10:0 doc11:0 doc12:0 doc13:0 doc14:0
pleas -> doc1:4 doc2:4 doc3:4 doc4:4 doc5:4 doc6:4 doc7:4 doc8:4 doc9:4 doc10:4 doc11:4 doc12:4 doc13:4 doc14:4
report -> doc1:4 doc2:5 doc3:3 doc4:5 doc5:4 doc6:3 doc7:3 doc8:4 doc9:3 doc10:9 doc11:3 doc12:3 doc13:4 doc14:3
screener -> doc1:4 doc2:4 doc3:4 doc4:4 doc5:4 doc6:4 doc7:4 doc8:4 doc9:4 doc10:4 doc11:4 doc12:4 doc13:4 doc14:4
trade -> doc1:4 doc2:4 doc3:4 doc4:4 doc5:4 doc6:5 doc7:4 doc8:5 doc9:4 doc10:4 doc11:5 doc12:4 doc13:4 doc14:4
unit -> doc1:4 doc2:0 doc3:0 doc4:0 doc5:1 doc6:1 doc7:0 doc8:0 doc9:1 doc10:0 doc11:0 doc12:0 doc13:0 doc14:0
analysi -> doc1:3 doc2:3 doc3:3 doc4:3 doc5:3 doc6:3 doc7:3 doc8:3 doc9:3 doc10:3 doc11:3 doc12:3 doc13:3 doc14:3
comment -> doc1:3 doc2:3 doc3:3 doc4:3 doc5:3 doc6:3 doc7:3 doc8:3 doc9:3 doc10:3 doc11:3 doc12:4 doc13:3 doc14:3
consum -> doc1:3 doc2:3 doc3:2 doc4:2 doc5:2 doc6:2 doc7:4 doc8:2 doc9:2 doc10:2 doc11:3 doc12:2 doc13:2 doc14:6
economi -> doc1:3 doc2:2 doc3:2 doc4:3 doc5:2 doc6:2 doc7:2 doc8:2 doc9:4 doc10:2 doc11:9 doc12:2 doc13:3 doc14:2
edit -> doc1:3 doc2:3 doc3:3 doc4:3 doc5:3 doc6:3 doc7:3 doc8:3 doc9:3 doc10:3 doc11:3 doc12:3 doc13:3 doc14:3
episod -> doc1:3 doc2:3 doc3:3 doc4:3 doc5:3 doc6:3 doc7:3 doc8:3 doc9:3 doc10:3 doc11:3 doc12:3 doc13:3 doc14:3
etf -> doc1:3 doc2:3 doc3:3 doc4:3 doc5:3 doc6:3 doc7:3 doc8:3 doc9:3 doc10:3 doc11:3 doc12:3 doc13:3 doc14:3
financi -> doc1:3 doc2:3 doc3:3 doc4:3 doc5:3 doc6:4 doc7:4 doc8:6 doc9:3 doc10:5 doc11:3 doc12:4 doc13:3 doc14:3
full -> doc1:3 doc2:3 doc3:3 doc4:3 doc5:3 doc6:3 doc7:3 doc8:3 doc9:3 doc10:3 doc11:3 doc12:3 doc13:3 doc14:3
health -> doc1:3 doc2:2 doc3:2 doc4:2 doc5:2 doc6:2 doc7:2 doc8:2 doc9:2 doc10:7 doc11:2 doc12:2 doc13:2 doc14:2
latest -> doc1:3 doc2:2 doc3:2 doc4:2 doc5:2 doc6:2 doc7:7 doc8:3 doc9:2 doc10:2 doc11:3 doc12:2 doc13:2 doc14:2
log -> doc1:3 doc2:3 doc3:3 doc4:3 doc5:3 doc6:3 doc7:3 doc8:3 doc9:3 doc10:3 doc11:3 doc12:3 doc13:3 doc14:3
millionunit -> doc1:3 doc2:0 doc3:0 doc4:0 doc5:0 doc6:0 doc7:0 doc8:0 doc9:0 doc10:0 doc11:0 doc12:0 doc13:0 doc14:0
polici -> doc1:3 doc2:3 doc3:3 doc4:3 doc5:3 doc6:3 doc7:3 doc8:3 doc9:3 doc10:3 doc11:6 doc12:4 doc13:3 doc14:3
privaci -> doc1:3 doc2:3 doc3:3 doc4:3 doc5:3 doc6:3 doc7:3 doc8:3 doc9:3 doc10:3 doc11:3 doc12:3 doc13:3 doc14:3
show -> doc1:3 doc2:3 doc3:3 doc4:3 doc5:3 doc6:3 doc7:6 doc8:5 doc9:3 doc10:3 doc11:4 doc12:4 doc13:3 doc14:3
special -> doc1:3 doc2:3 doc3:3 doc4:3 doc5:3 doc6:3 doc7:3 doc8:3 doc9:3 doc10:3 doc11:3 doc12:4 doc13:3 doc14:3
squawk -> doc1:3 doc2:3 doc3:3 doc4:3 doc5:3 doc6:3 doc7:3 doc8:3 doc9:3 doc10:3 doc11:3 doc12:3 doc13:3 doc14:3
time -> doc1:3 doc2:3 doc3:4 doc4:4 doc5:4 doc6:3 doc7:4 doc8:5 doc9:3 doc10:7 doc11:4 doc12:5 doc13:3 doc14:3
watch -> doc1:3 doc2:3 doc3:3 doc4:3 doc5:3 doc6:3 doc7:3 doc8:3 doc9:3 doc10:3 doc11:3 doc12:3 doc13:3 doc14:3
watchlist -> doc1:3 doc2:3 doc3:3 doc4:3 doc5:3 doc6:3 doc7:3 doc8:3 doc9:3 doc10:3 doc11:3 doc12:3 doc13:3 doc14:3
add -> doc1:2 doc2:2 doc3:2 doc4:2 doc5:2 doc6:2 doc7:2 doc8:2 doc9:2 doc10:2 doc11:2 doc12:4 doc13:2 doc14:2
advisor -> doc1:2 doc2:2 doc3:2 doc4:2 doc5:2 doc6:2 doc7:2 doc8:2 doc9:2 doc10:2 doc11:2 doc12:2 doc13:2 doc14:2
analyst -> doc1:2 doc2:3 doc3:2 doc4:2 doc5:5 doc6:2 doc7:2 doc8:3 doc9:2 doc10:2 doc11:3 doc12:2 doc13:2 doc14:2
asiapacif -> doc1:2 doc2:2 doc3:2 doc4:2 doc5:2 doc6:2 doc7:2 doc8:2 doc9:2 doc10:2 doc11:2 doc12:2 doc13:2 doc14:2
